"","Player.Name","Yearly.Salary","Age","Position","Nationality","team.y","MP","Starts","Min","X90s","goal.90","assit.90","G.p.90","PK","PKatt","CrdY","CrdR","Gls","Ast","G.A","G.PK","G.A.PK","Sh.x","Shot.on.Target","SoT.","Sh.90","SoT.90","G.Sh","G.SoT","Dist","FK","total.completed","total.tempted","X.total..completed.","total.distance","progressive.distance","short.completed","short.attempted","short.","mediumm.completed","medium.attempted","X.medium","long.complted","long.attempted","long..","xA","KP","X1.3.x","PPA","CrsPA","Prog.x","SCA","SCA90","PassLive","PassDead","Drib","Sh.y","Fld","Def","GCA","GCA90","ATG.in.play","ATG.not.in.play","ATG.drib","ATG.shot","ATG.fouls","ATG.finalized","Tkl","TklW","Def.3rd.x","Mid.3rd.x","Att.3rd.x","X.contrs.opponents","Att.x","Tkl.","Past","Press","Succ.x","X.","Pressin.def","Press.mid","Press.att","Blocks","Sh","ShSv","Pass","Int","Tkl.Int","Clr","Err","Touches","Def.Pen","Def.3rd.y","Mid.3rd.y","Att.3rd.y","Att.Pen","Live","Succ.y","Att.y","Succ.","X.Pl","Megs","Carries","TotDist","PrgDist","Prog.y","X1.3.y","CPA","Mis","Dis","Targ","Rec","Rec.","prog..ric.","X2CrdY","Fls","sub_fouls","Off","Crs","OG","Recov","Won","Lost","Won."
"1","Aaron Hickey",832000,18,"D","Scotland","bologna-fc-1909",11,10,758,8.4,0,0,0,0,0,3,1,0,0,0,0,0,3,1,33.3,0.36,0.12,0,0,28.1,1,339,404,83.9,6100,1977,143,157,91.1,160,187,85.6,32,48,66.7,0.3,4,24,4,1,24,7,0.83,6,1,0,0,0,0,1,0.12,1,0,0,0,0,0,13,6,10,2,1,6,17,35.3,11,94,33,35.1,45,34,15,17,2,0,15,12,25,15,0,505,30,160,247,139,10,427,8,15,53.3,10,0,322,1931,952,34,18,2,10,13,301,280,93,16,0,12,15,0,6,0,79,3,4,42.9
"2","Aaron Ramsey",9724000,29,"M","Wales","juventus",22,13,1089,12.1,2,4,2,0,0,2,0,0.17,0.33,0.5,0.17,0.5,23,10,43.5,1.9,0.83,0.09,0.2,13.8,0,626,732,85.5,10686,2564,305,340,89.7,245,282,86.9,63,85,74.1,3.6,30,59,22,4,59,58,4.79,46,5,2,1,3,1,7,0.58,5,0,0,0,1,1,24,16,8,14,2,5,24,20.8,19,225,73,32.4,54,108,63,14,2,0,12,6,30,9,1,862,17,122,446,352,71,840,12,19,63.2,12,1,619,3261,1471,79,22,9,24,10,821,702,85.5,113,0,19,18,3,19,0,73,7,16,30.4
"3","Achraf Hakimi",6968000,21,"D","Morocco","fc-internazionale-milano",37,29,2665,29.6,7,8,7,0,0,6,0,0.24,0.27,0.51,0.24,0.51,38,15,39.5,1.28,0.51,0.18,0.47,16.3,2,1279,1550,82.5,20216,6794,708,799,88.6,440,513,85.8,97,151,64.2,6.7,36,60,50,21,124,75,2.53,59,4,3,0,9,0,18,0.61,15,0,0,0,3,0,52,30,26,18,8,24,56,42.9,32,500,145,29,183,170,147,40,1,0,39,25,77,28,0,1863,50,389,716,867,137,1645,36,67,53.7,40,8,1255,6621,4411,221,51,36,44,33,1499,1296,86.5,163,0,31,37,8,105,0,166,13,29,31
"4","Adam Marusic",1612000,26,"D","Montenegro","lazio",36,33,2966,33,2,3,2,0,0,3,0,0.06,0.09,0.15,0.06,0.15,27,12,44.4,0.82,0.36,0.07,0.17,14.5,0,1352,1619,83.5,24779,7562,593,667,88.9,560,634,88.3,172,256,67.2,2.2,32,68,28,17,90,58,1.76,50,1,1,5,0,1,6,0.18,5,0,0,1,0,0,50,28,29,18,3,19,41,46.3,22,309,93,30.1,139,117,53,56,6,0,50,48,98,66,1,1912,111,605,911,550,66,1721,27,54,50,28,1,1216,7369,3968,160,49,10,18,23,1411,1241,88,107,0,19,17,4,50,1,232,43,25,63.2
"5","Adam Ounas",2132000,23,"M","Algeria","cagliari",7,3,308,3.4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,1.75,0,0,0,17.7,0,83,121,68.6,1611,530,34,40,85,30,44,68.2,13,23,56.5,0.9,6,8,8,2,15,13,3.8,11,0,2,0,0,0,2,0.58,2,0,0,0,0,0,3,1,3,0,0,1,8,12.5,7,64,15,23.4,22,33,9,6,0,0,6,5,8,2,0,182,0,27,89,88,10,178,20,27,74.1,20,0,148,666,396,23,9,2,7,14,158,130,82.3,26,0,3,9,1,11,0,27,3,5,37.5
"6","Adam Ounas",2132000,23,"M","Algeria","crotone",15,15,1199,13.3,4,4,4,0,0,1,0,0.3,0.3,0.6,0.3,0.6,25,10,40,1.88,0.75,0.16,0.4,17.1,0,389,494,78.7,7945,1846,150,177,84.7,164,191,85.9,71,109,65.1,3.6,22,35,28,4,61,44,3.3,29,4,7,1,3,0,7,0.53,4,1,2,0,0,0,7,4,2,3,2,3,8,37.5,5,167,27,16.2,38,75,54,13,2,0,11,9,16,3,0,660,5,84,383,288,48,628,46,68,67.6,48,3,553,3371,2133,79,42,15,23,40,638,497,77.9,71,0,10,31,9,27,0,87,8,18,30.8
"7","Adama Soumaoro",1456000,28,"D","France","bologna-fc-1909",20,19,1755,19.5,1,0,1,0,0,4,0,0.05,0,0.05,0.05,0.05,7,2,28.6,0.36,0.1,0.14,0.5,7.4,0,821,897,91.5,16069,4656,278,301,92.4,425,443,95.9,109,136,80.1,0.1,2,22,0,0,35,9,0.46,8,0,0,0,0,1,0,0,0,0,0,0,0,0,28,16,23,5,0,6,12,50,6,216,78,36.1,130,80,6,46,26,0,20,32,60,99,0,1110,166,583,553,32,10,1045,3,3,100,3,0,602,3251,1577,31,4,0,4,2,644,627,97.4,2,0,33,19,0,0,0,187,70,19,78.7
"8","Adolfo Gaich",1144000,21,"ST","Argentina","benevento",15,9,768,8.5,2,0,2,0,0,1,0,0.23,0,0.23,0.23,0.23,23,7,30.4,2.7,0.82,0.09,0.29,13.7,0,90,141,63.8,1307,235,48,70,68.6,26,39,66.7,9,11,81.8,0.3,5,2,4,1,7,14,1.64,8,0,2,0,2,2,3,0.35,1,0,1,0,0,1,10,3,2,7,1,0,9,0,9,203,40,19.7,15,114,74,8,0,0,8,5,15,4,0,261,4,16,142,120,39,254,10,21,47.6,12,4,140,561,242,12,5,2,25,13,409,187,45.7,65,0,24,19,3,3,0,28,15,52,22.4
"9","Adrien Rabiot",9724000,25,"M","France","juventus",34,25,2313,25.7,4,2,4,0,0,7,1,0.16,0.08,0.23,0.16,0.23,34,12,35.3,1.32,0.47,0.12,0.33,16.3,0,1339,1482,90.4,23601,5614,595,654,91,589,631,93.3,132,147,89.8,1.1,10,117,23,3,103,42,1.63,39,0,1,2,0,0,7,0.27,5,0,1,1,0,0,72,45,28,33,11,25,57,43.9,32,485,144,29.7,160,240,85,46,11,0,35,31,103,37,1,1760,97,481,1022,415,46,1723,26,40,65,29,0,1236,8098,4054,141,55,9,21,28,1411,1301,92.2,77,1,44,21,0,14,0,217,40,23,63.5
"10","Adrien Silva",1664000,31,"M","Portugal","u.c.-sampdoria",24,18,1599,17.8,1,1,1,0,0,8,1,0.06,0.06,0.11,0.06,0.11,6,1,16.7,0.34,0.06,0.17,1,22.3,0,839,959,87.5,17222,4144,310,342,90.6,346,387,89.4,164,197,83.2,0.9,10,80,8,0,66,29,1.63,28,1,0,0,0,0,3,0.17,2,1,0,0,0,0,49,26,25,22,2,13,45,28.9,32,498,142,28.5,166,255,77,39,3,0,36,34,83,14,0,1136,43,288,718,193,7,1089,10,15,66.7,10,0,701,2751,1285,55,15,0,12,18,782,728,93.1,22,1,35,23,0,9,0,193,10,20,33.3
