"","Player Name","Yearly Salary","Age","Position","Nationality","team"
"1","Mattia Caldara",3692000,26,"D","Italy","atalanta"
"2","Victor Kovalenko",3224000,24,"M","Ukraine","atalanta"
"3","Duvan Zapata",3172000,29,"ST","Colombia","atalanta"
"4","Josip Ilicic",3068000,32,"ST","Slovenia","atalanta"
"5","Luis Muriel",3068000,29,"ST","Colombia","atalanta"
"6","Alexey Miranchuk",2704000,24,"M","Russia","atalanta"
"7","Mario Pasalic",1664000,25,"M","Croatia","atalanta"
"8","Marten de Roon",1664000,29,"M","Holland","atalanta"
"9","Rafael Toloi",1612000,29,"D","Brazil","atalanta"
"10","Cristian Romero",1612000,22,"D","Argentina","atalanta"
"11","Berat Djimsiti",1508000,27,"D","Albania","atalanta"
"12","Hans Hateboer",1404000,26,"D","Holland","atalanta"
"13","Jose Luis Palomino",1352000,30,"D","Argentina","atalanta"
"14","Pierluigi Gollini",1300000,25,"GK","Italy","atalanta"
"15","Ruslan Malinovskyi",1300000,27,"M","Ukraine","atalanta"
"16","Robin Gosens",1248000,26,"D","Germany","atalanta"
"17","Remo Freuler",1248000,28,"M","Switzerland","atalanta"
"18","Joakim Mahle",1248000,23,"D","Denmark","atalanta"
"19","Sam Lammers",988000,23,"ST","Holland","atalanta"
"20","Marco Sportiello",988000,28,"GK","Italy","atalanta"
"21","Bosko Sutalo",390000,20,"D","Croatia","atalanta"
"22","Boris Radunovic",390000,24,"GK","Serbia","atalanta"
"23","Matteo Pessina",254800,23,"M","Italy","atalanta"
"24","Francesco Rossi",171600,29,"GK","Italy","atalanta"
"25","Davide Bettella",124800,20,"D","Italy","atalanta"
"26","Willy Ta Bi",72800,20,"M","Ivory Coast","atalanta"
"27","Fabio Eguelfi",48100,25,"D","Italy","atalanta"
"28","Alessandro Cortinovis",34684,19,"M","Italy","atalanta"
"29","Alessandro Pavan",33332,20,"GK","Italy","atalanta"
"30","Davide Ghislandi",33176,19,"M","Italy","atalanta"
"31","Kamil Glik",3484000,32,"D","Poland","benevento"
"32","Gianluca Lapadula",2756000,30,"ST","Peru","benevento"
"33","Artur Ionita",1664000,29,"M","Moldova","benevento"
"34","Iago Falque",1612000,30,"ST","Spain","benevento"
"35","Nicolas Viola",1196000,30,"M","Italy","benevento"
"36","Bryan Dabo",1196000,28,"M","Burkina Faso","benevento"
"37","Perparim Hetemaj",1144000,33,"M","Finland","benevento"
"38","Marco Sau",1144000,32,"ST","Italy","benevento"
"39","Pasquale Schiattarella",1144000,33,"M","Italy","benevento"
"40","Adolfo Gaich",1144000,21,"ST","Argentina","benevento"
"41","Federico Barba",884000,26,"D","Italy","benevento"
"42","Luca Caldirola",832000,29,"D","Italy","benevento"
"43","Roberto Insigne",728000,26,"M","Italy","benevento"
"44","Gianluca Caprari",728000,26,"ST","Italy","benevento"
"45","Andres Tello",676000,24,"M","Colombia","benevento"
"46","Fabio Depaoli",624000,23,"D","Italy","benevento"
"47","Gaetano Letizia",624000,30,"D","Italy","benevento"
"48","Gabriele Moncini",624000,24,"ST","Italy","benevento"
"49","Daam Foulon",488800,21,"D","Belgium","benevento"
"50","Lorenzo Montipo",468000,24,"GK","Italy","benevento"
"51","Alessandro Tuia",390000,30,"D","Italy","benevento"
"52","Luca Antei",364000,28,"D","Italy","benevento"
"53","Riccardo Improta",348400,26,"M","Italy","benevento"
"54","Giuseppe Di Serio",166400,19,"ST","Italy","benevento"
"55","Nicolo Manfredini",150800,32,"GK","Italy","benevento"
"56","Amadou Diambo",130000,19,"M","Ghana","benevento"
"57","Christian Pastina",124800,19,"D","Italy","benevento"
"58","Pier Graziano Gori",93600,40,"GK","Italy","benevento"
"59","Siriky Sanogo",12116,18,"M","Ivory Coast","benevento"
"60","Igor Lucatelli",12116,16,"GK","Italy","benevento"
"61","Nicola Sansone",2652000,28,"ST","Italy","bologna-fc-1909"
"62","Roberto Soriano",2600000,29,"M","Italy","bologna-fc-1909"
"63","Gary Medel",2132000,32,"D","Chile","bologna-fc-1909"
"64","Andrea Poli",2028000,30,"M","Italy","bologna-fc-1909"
"65","Federico Santander",1820000,29,"ST","Paraguay","bologna-fc-1909"
"66","Rodrigo Palacio",1768000,38,"ST","Argentina","bologna-fc-1909"
"67","Riccardo Orsolini",1768000,23,"M","Italy","bologna-fc-1909"
"68","Lorenzo De Silvestri",1508000,32,"D","Italy","bologna-fc-1909"
"69","Andreas Skov Olsen",1508000,20,"ST","Denmark","bologna-fc-1909"
"70","Lukasz Skorupski",1508000,29,"GK","Poland","bologna-fc-1909"
"71","Adama Soumaoro",1456000,28,"D","France","bologna-fc-1909"
"72","Mitchell Dijks",1300000,27,"D","Holland","bologna-fc-1909"
"73","Ibrahima Mbaye",1300000,25,"D","Senegal","bologna-fc-1909"
"74","Danilo",1196000,36,"D","Brazil","bologna-fc-1909"
"75","Nicolas Dominguez",936000,22,"M","Argentina","bologna-fc-1909"
"76","Aaron Hickey",832000,18,"D","Scotland","bologna-fc-1909"
"77","Mattias Svanberg",780000,21,"M","Sweden","bologna-fc-1909"
"78","Paolo Farago",780000,27,"D","Italy","bologna-fc-1909"
"79","Jerdy Schouten",676000,23,"M","Holland","bologna-fc-1909"
"80","Takehiro Tomiyasu",676000,21,"D","Japan","bologna-fc-1909"
"81","Emanuel Vignato",624000,19,"ST","Italy","bologna-fc-1909"
"82","Angelo da Costa",572000,36,"GK","Brazil","bologna-fc-1909"
"83","Musa Barrow",410800,21,"ST","The Gambia","bologna-fc-1909"
"84","Musa Juwara",410800,18,"ST","The Gambia","bologna-fc-1909"
"85","Andri Fannar Baldursson",234000,18,"M","Iceland","bologna-fc-1909"
"86","Sebastian Breza",46904,22,"GK","Canada","bologna-fc-1909"
"87","Federico Ravaglia",45344,20,"GK","Italy","bologna-fc-1909"
"88","Edoardo Vergani",43108,19,"ST","Italy","bologna-fc-1909"
"89","Dion Ruffo Luci",36192,19,"M","Italy","bologna-fc-1909"
"90","Simone Rabbi",31200,18,"ST","Italy","bologna-fc-1909"
"91","Radja Nainggolan",7592000,32,"M","Belgium","cagliari"
"92","Daniele Rugani",5928000,25,"D","Italy","cagliari"
"93","Diego Godin",5200000,34,"D","Uruguay","cagliari"
"94","Giovanni Simeone",2600000,24,"ST","Argentina","cagliari"
"95","Marko Rog",2496000,25,"M","Croatia","cagliari"
"96","Leonardo Pavoletti",2392000,31,"ST","Italy","cagliari"
"97","Joao Pedro",2392000,28,"ST","Brazil","cagliari"
"98","Alfred Duncan",2340000,27,"M","Ghana","cagliari"
"99","Nahitan Nandez",2184000,24,"M","Uruguay","cagliari"
"100","Gaston Pereiro",1976000,25,"ST","Uruguay","cagliari"
"101","Alessio Cragno",1872000,26,"GK","Italy","cagliari"
"102","Alberto Cerri",1872000,24,"ST","Italy","cagliari"
"103","Luca Ceppitelli",1716000,30,"D","Italy","cagliari"
"104","Kwadwo Asamoah",1664000,31,"D","Ghana","cagliari"
"105","Razvan Marin",1612000,24,"M","Romania","cagliari"
"106","Ragnar Klavan",1612000,34,"D","Estonia","cagliari"
"107","Charalampos Lykogiannis",936000,26,"D","Greece","cagliari"
"108","Alessandro Tripaldelli",676000,21,"D","Italy","cagliari"
"109","Alessandro Deiola",676000,24,"M","Italy","cagliari"
"110","Guglielmo Vicario",572000,23,"GK","Italy","cagliari"
"111","Andrea Carboni",442000,19,"D","Italy","cagliari"
"112","Arturo Calabresi",442000,24,"D","Italy","cagliari"
"113","Sebastian Walukiewicz",395200,20,"D","Poland","cagliari"
"114","Zito",312000,18,"ST","Angola","cagliari"
"115","Gabriele Zappa",270400,20,"D","Italy","cagliari"
"116","Riccardo Sottil",244400,21,"M","Italy","cagliari"
"117","Simone Aresti",239200,34,"GK","Italy","cagliari"
"118","Matteo Tramoni",202800,20,"M","France","cagliari"
"119","Ivan Michelotti",57200,19,"D","Italy","cagliari"
"120","Lisandru Tramoni",40092,17,"ST","France","cagliari"
"121","Adam Ounas",2132000,23,"M","Algeria","crotone"
"122","Samuel Di Carmine",1092000,31,"ST","Italy","crotone"
"123","Koffi Djidji",988000,27,"D","France","crotone"
"124","Simy",936000,28,"ST","Nigeria","crotone"
"125","Lisandro Magallan",936000,26,"D","Argentina","crotone"
"126","Ahmad Benali",936000,28,"M","Libya","crotone"
"127","Emmanuel Riviere",884000,30,"ST","Martinique","crotone"
"128","Eduardo Henrique",884000,25,"M","Brazil","crotone"
"129","Jacopo Petriccione",832000,25,"M","Italy","crotone"
"130","Andrea Rispoli",780000,31,"D","Italy","crotone"
"131","Luca Cigarini",728000,34,"M","Italy","crotone"
"132","Arkadiusz Reca",676000,25,"D","Poland","crotone"
"133","Sebastiano Luperto",572000,23,"D","Italy","crotone"
"134","Milos Vulic",520000,23,"M","Serbia","crotone"
"135","Pedro Pereira",468000,22,"D","Portugal","crotone"
"136","Vladimir Golemic",416000,29,"D","Serbia","crotone"
"137","Denis Dragus",384800,21,"ST","Romania","crotone"
"138","Niccolo Zanellato",358800,22,"M","Italy","crotone"
"139","Salvatore Molina",343200,28,"D","Italy","crotone"
"140","Giuseppe Cuomo",322400,22,"D","Italy","crotone"
"141","Alex Cordaz",286000,37,"GK","Italy","crotone"
"142","Antonio Mazzotta",286000,30,"D","Italy","crotone"
"143","Luis Rojas",260000,18,"M","Chile","crotone"
"144","Junior Messias",213200,29,"ST","Brazil","crotone"
"145","Marco Festa",202800,28,"GK","Italy","crotone"
"146","Aristoteles Romero",130000,24,"M","Venezuela","crotone"
"147","Gian Marco Crespi",114400,19,"GK","Italy","crotone"
"148","Sergio Yakubiv",12116,18,"D","Ukraine","crotone"
"149","Massimiliano Mignogna",12116,17,"D","Italy","crotone"
"150","Francesco D'Alterio",12116,18,"GK","Italy","crotone"
"151","Franck Ribery",5564000,37,"ST","France","acf-fiorentina"
"152","Jose Callejon",3744000,33,"M","Spain","acf-fiorentina"
"153","Alexandr Kokorin",2912000,29,"ST","Russia","acf-fiorentina"
"154","Giacomo Bonaventura",2600000,30,"M","Italy","acf-fiorentina"
"155","Gaetano Castrovilli",2444000,23,"M","Italy","acf-fiorentina"
"156","Erick Pulgar",2288000,26,"M","Chile","acf-fiorentina"
"157","Christian Kouame",2132000,22,"ST","Ivory Coast","acf-fiorentina"
"158","Cristiano Biraghi",2132000,27,"D","Italy","acf-fiorentina"
"159","German Pezzella",2080000,29,"D","Argentina","acf-fiorentina"
"160","Martin Caceres",1976000,33,"D","Uruguay","acf-fiorentina"
"161","Sofyan Amrabat",1976000,23,"M","Morocco","acf-fiorentina"
"162","Borja Valero",1872000,35,"M","Spain","acf-fiorentina"
"163","Antonio Barreca",1612000,25,"D","Italy","acf-fiorentina"
"164","Bartlomiej Dragowski",1508000,22,"GK","Poland","acf-fiorentina"
"165","Dusan Vlahovic",1456000,20,"ST","Serbia","acf-fiorentina"
"166","Lucas Martinez Quarta",1404000,24,"D","Argentina","acf-fiorentina"
"167","Kevin Malcuit",1352000,28,"D","France","acf-fiorentina"
"168","Nikola Milenkovic",1300000,22,"D","Serbia","acf-fiorentina"
"169","Valentin Eysseric",1196000,28,"M","France","acf-fiorentina"
"170","Maximiliano Olivera",780000,28,"D","Uruguay","acf-fiorentina"
"171","Lorenzo Venuti",676000,25,"D","Italy","acf-fiorentina"
"172","Igor",624000,22,"D","Brazil","acf-fiorentina"
"173","Pietro Terracciano",468000,30,"GK","Italy","acf-fiorentina"
"174","Antonio Rosati",286000,37,"GK","Italy","acf-fiorentina"
"175","Tofol Montiel",135200,20,"ST","Spain","acf-fiorentina"
"176","Pierluigi Pinto",93600,21,"D","Italy","acf-fiorentina"
"177","Federico Brancolini",67600,19,"GK","Italy","acf-fiorentina"
"178","Louis Munteanu",52000,18,"ST","Romania","acf-fiorentina"
"179","Marko Hanuljak",50128,20,"M","Croatia","acf-fiorentina"
"180","Nicky Beloko",48100,20,"M","Switzerland","acf-fiorentina"
"181","Kevin Strootman",5460000,30,"M","Holland","genoa-cfc"
"182","Mattia Perin",3848000,27,"GK","Italy","genoa-cfc"
"183","Davide Zappacosta",3588000,28,"D","Italy","genoa-cfc"
"184","Marko Pjaca",3328000,25,"ST","Croatia","genoa-cfc"
"185","Milan Badelj",2340000,31,"M","Croatia","genoa-cfc"
"186","Domenico Criscito",2132000,33,"D","Italy","genoa-cfc"
"187","Cristian Zapata",2132000,33,"D","Colombia","genoa-cfc"
"188","Eldor Shomurodov",1924000,25,"ST","Uzbekistan","genoa-cfc"
"189","Luca Pellegrini",1716000,21,"D","Italy","genoa-cfc"
"190","Nicolo Rovella",1664000,18,"M","Italy","genoa-cfc"
"191","Miha Zajc",1560000,26,"M","Slovenia","genoa-cfc"
"192","Andrea Masiello",1352000,34,"D","Italy","genoa-cfc"
"193","Davide Biraschi",1300000,26,"D","Italy","genoa-cfc"
"194","Francesco Cassata",1144000,23,"M","Italy","genoa-cfc"
"195","Ivan Radovanovic",1092000,31,"D","Serbia","genoa-cfc"
"196","Paolo Ghiglione",988000,23,"D","Italy","genoa-cfc"
"197","Edoardo Goldaniga",936000,26,"D","Italy","genoa-cfc"
"198","Goran Pandev",884000,37,"ST","North Macedonia","genoa-cfc"
"199","Mattia Destro",884000,29,"ST","Italy","genoa-cfc"
"200","Federico Marchetti",780000,37,"GK","Italy","genoa-cfc"
"201","Gianluca Scamacca",728000,21,"ST","Italy","genoa-cfc"
"202","Lennart Czyborra",676000,21,"D","Germany","genoa-cfc"
"203","Valon Behrami",676000,35,"M","Switzerland","genoa-cfc"
"204","Jerome Onguene",369200,22,"D","Cameroon","genoa-cfc"
"205","Lukas Zima",364000,26,"GK","Czech Republic","genoa-cfc"
"206","Manolo Portanova",150800,20,"M","Italy","genoa-cfc"
"207","Erion Sadiku",67600,18,"D","Sweden","genoa-cfc"
"208","Giuseppe Caso",62400,21,"M","Italy","genoa-cfc"
"209","Filippo Melegoni",53352,21,"M","Italy","genoa-cfc"
"210","Luigi Carillo",52000,23,"D","Italy","genoa-cfc"
"211","Christian Eriksen",12636000,28,"M","Denmark","fc-internazionale-milano"
"212","Romelu Lukaku",10400000,27,"ST","Belgium","fc-internazionale-milano"
"213","Alexis Sanchez",9724000,31,"ST","Chile","fc-internazionale-milano"
"214","Arturo Vidal",9048000,33,"M","Chile","fc-internazionale-milano"
"215","Ivan Perisic",6968000,31,"D","Croatia","fc-internazionale-milano"
"216","Achraf Hakimi",6968000,21,"D","Morocco","fc-internazionale-milano"
"217","Stefan de Vrij",6448000,28,"D","Holland","fc-internazionale-milano"
"218","Marcelo Brozovic",5928000,27,"M","Croatia","fc-internazionale-milano"
"219","Samir Handanovic",5408000,36,"GK","Slovenia","fc-internazionale-milano"
"220","Aleksandar Kolarov",5252000,34,"D","Serbia","fc-internazionale-milano"
"221","Milan Skriniar",5044000,25,"D","Slovakia","fc-internazionale-milano"
"222","Ashley Young",4732000,35,"D","England","fc-internazionale-milano"
"223","Lautaro Martinez",4212000,22,"ST","Argentina","fc-internazionale-milano"
"224","Nicolo Barella",4160000,23,"M","Italy","fc-internazionale-milano"
"225","Matias Vecino",4160000,28,"M","Uruguay","fc-internazionale-milano"
"226","Andrea Pinamonti",3536000,21,"ST","Italy","fc-internazionale-milano"
"227","Danilo D'Ambrosio",3484000,31,"D","Italy","fc-internazionale-milano"
"228","Stefano Sensi",3276000,24,"M","Italy","fc-internazionale-milano"
"229","Andrea Ranocchia",3224000,32,"D","Italy","fc-internazionale-milano"
"230","Alessandro Bastoni",2704000,21,"D","Italy","fc-internazionale-milano"
"231","Roberto Gagliardini",2444000,26,"M","Italy","fc-internazionale-milano"
"232","Matteo Darmian",2028000,30,"D","Italy","fc-internazionale-milano"
"233","Ionut Radu",1768000,23,"GK","Romania","fc-internazionale-milano"
"234","Daniele Padelli",936000,34,"GK","Italy","fc-internazionale-milano"
"235","Filip Stankovic",119600,18,"GK","Serbia","fc-internazionale-milano"
"236","Matias Fonseca",38948,19,"ST","Italy","fc-internazionale-milano"
"237","Martin Satriano",38948,19,"ST","Uruguay","fc-internazionale-milano"
"238","Tibo Persyn",31200,18,"D","Belgium","fc-internazionale-milano"
"239","Niccolo Squizzato",27612,18,"M","Italy","fc-internazionale-milano"
"240","Samuel Grygar",12116,15,"M","Czech Republic","fc-internazionale-milano"
"241","Cristiano Ronaldo",5.2e+07,35,"ST","Portugal","juventus"
"242","Paulo Dybala",12324000,26,"ST","Argentina","juventus"
"243","Matthijs de Ligt",11128000,20,"D","Holland","juventus"
"244","Wojciech Szczesny",10972000,30,"GK","Poland","juventus"
"245","Leonardo Bonucci",10972000,33,"D","Italy","juventus"
"246","Alex Sandro",10140000,29,"D","Brazil","juventus"
"247","Adrien Rabiot",9724000,25,"M","France","juventus"
"248","Aaron Ramsey",9724000,29,"M","Wales","juventus"
"249","Juan Cuadrado",8476000,32,"D","Colombia","juventus"
"250","Arthur",6968000,23,"M","Brazil","juventus"
"251","Federico Bernardeschi",6760000,26,"D","Italy","juventus"
"252","Giorgio Chiellini",5928000,35,"D","Italy","juventus"
"253","Danilo",5564000,29,"D","Brazil","juventus"
"254","Dejan Kulusevski",4316000,20,"M","Sweden","juventus"
"255","Rodrigo Bentancur",4108000,23,"M","Uruguay","juventus"
"256","Alvaro Morata",3796000,27,"ST","Spain","juventus"
"257","Merih Demiral",3016000,22,"D","Turkey","juventus"
"258","Federico Chiesa",2964000,22,"D","Italy","juventus"
"259","Gianluigi Buffon",2132000,42,"GK","Italy","juventus"
"260","Weston McKennie",2080000,21,"M","U.S.A.","juventus"
"261","Carlo Pinsoglio",624000,30,"GK","Italy","juventus"
"262","Gianluca Frabotta",166400,21,"D","Italy","juventus"
"263","Enzo Barrenechea",119600,19,"M","Argentina","juventus"
"264","Nicolo Fagioli",98800,19,"M","Italy","juventus"
"265","Jean-Claude Ntenda",57200,17,"D","France","juventus"
"266","Nikola Sekulov",46800,18,"M","Italy","juventus"
"267","Matias Soule",43732,17,"ST","Argentina","juventus"
"268","Felix Nzouango Bikien",42588,17,"D","France","juventus"
"269","Daniel Leo",23036,18,"D","Switzerland","juventus"
"270","Giovanni Gabriele Garofani",12116,17,"GK","Italy","juventus"
"271","Ciro Immobile",4108000,29,"ST","Italy","lazio"
"272","Sergej Milinkovic-Savic",3900000,24,"M","Serbia","lazio"
"273","Lucas Leiva",3640000,32,"D","Brazil","lazio"
"274","Felipe Caicedo",3432000,30,"ST","Ecuador","lazio"
"275","Luis Alberto",2860000,26,"M","Spain","lazio"
"276","Francesco Acerbi",2496000,31,"D","Italy","lazio"
"277","Joaquin Correa",2392000,24,"ST","Argentina","lazio"
"278","Manuel Lazzari",2340000,25,"D","Italy","lazio"
"279","Marco Parolo",2184000,34,"M","Italy","lazio"
"280","Senad Lulic",2132000,33,"D","Bosnia & Herzegovina","lazio"
"281","Stefan Radu",2132000,32,"M","Romania","lazio"
"282","Danilo Cataldi",1872000,24,"M","Italy","lazio"
"283","Bastos",1768000,27,"D","Angola","lazio"
"284","Thomas Strakosha",1768000,24,"GK","Albania","lazio"
"285","Adam Marusic",1612000,26,"D","Montenegro","lazio"
"286","Jordan Lukaku",1612000,24,"D","Belgium","lazio"
"287","Patric",1560000,26,"D","Spain","lazio"
"288","Silvio Proto",1508000,36,"GK","Belgium","lazio"
"289","Jony",1456000,27,"D","Spain","lazio"
"290","Denis Vavro",1404000,23,"D","Slovakia","lazio"
"291","Luiz Felipe",1300000,22,"D","Brazil","lazio"
"292","Bobby Adekanye",832000,20,"ST","Holland","lazio"
"293","Andre Anderson",676000,19,"ST","Brazil","lazio"
"294","Ricardo Kishna",520000,24,"ST","Holland","lazio"
"295","Guido Guerrieri",478400,23,"GK","Italy","lazio"
"296","Djavan Anderson",436800,24,"D","Holland","lazio"
"297","Jorge Silva",109200,20,"D","Portugal","lazio"
"298","Luca Falbo",52000,19,"D","Italy","lazio"
"299","Marco Alia",46800,19,"GK","Albania","lazio"
"300","Nikos Baxevanos",46800,19,"D","Greece","lazio"
"301","Gianluigi Donnarumma",10140000,21,"GK","Italy","ac-milan"
"302","Zlatan Ibrahimovic",9724000,38,"ST","Sweden","ac-milan"
"303","Mario Mandzukic",6084000,34,"ST","Croatia","ac-milan"
"304","Alessio Romagnoli",5928000,25,"D","Italy","ac-milan"
"305","Brahim Diaz",5928000,20,"ST","Spain","ac-milan"
"306","Ante Rebic",4992000,26,"M","Croatia","ac-milan"
"307","Hakan Calhanoglu",4264000,26,"M","Turkey","ac-milan"
"308","Franck Kessie",3848000,23,"M","Ivory Coast","ac-milan"
"309","Fikayo Tomori",3744000,22,"D","England","ac-milan"
"310","Davide Calabria",3484000,23,"D","Italy","ac-milan"
"311","Ismael Bennacer",2600000,22,"M","Algeria","ac-milan"
"312","Samu Castillejo",2444000,25,"M","Spain","ac-milan"
"313","Theo Hernandez",1924000,22,"D","France","ac-milan"
"314","Antonio Donnarumma",1872000,30,"GK","Italy","ac-milan"
"315","Rafael Leao",1820000,21,"ST","Portugal","ac-milan"
"316","Rade Krunic",1768000,26,"M","Bosnia & Herzegovina","ac-milan"
"317","Diogo Dalot",1768000,21,"D","Portugal","ac-milan"
"318","Soualiho Meite",1768000,26,"M","France","ac-milan"
"319","Ciprian Tatarusanu",1768000,34,"GK","Romania","ac-milan"
"320","Sandro Tonali",1716000,20,"M","Italy","ac-milan"
"321","Alexis Saelemaekers",1560000,21,"D","Belgium","ac-milan"
"322","Simon Kjar",1560000,31,"D","Denmark","ac-milan"
"323","Jens Petter Hauge",1404000,20,"ST","Norway","ac-milan"
"324","Matteo Gabbia",988000,20,"D","Italy","ac-milan"
"325","Pierre Kalulu",780000,20,"D","France","ac-milan"
"326","Daniel Maldini",624000,18,"ST","Italy","ac-milan"
"327","Antonio Mionic",48412,19,"M","Croatia","ac-milan"
"328","Nikolaos Michelis",46436,19,"D","Greece","ac-milan"
"329","Giacomo Olzer",45916,19,"ST","Italy","ac-milan"
"330","Alessio Brambilla",43108,19,"M","Italy","ac-milan"
"331","Kalidou Koulibaly",10140000,29,"D","Senegal","napoli"
"332","Lorenzo Insigne",7800000,29,"ST","Italy","napoli"
"333","Dries Mertens",7592000,33,"ST","Belgium","napoli"
"334","Kostas Manolas",6760000,29,"D","Greece","napoli"
"335","Hirving Lozano",6240000,24,"ST","Mexico","napoli"
"336","Victor Osimhen",6240000,21,"ST","Nigeria","napoli"
"337","Piotr Zielinski",5928000,26,"M","Poland","napoli"
"338","Tiemoue Bakayoko",5356000,25,"M","France","napoli"
"339","Diego Demme",4316000,28,"M","Germany","napoli"
"340","Faouzi Ghoulam",4160000,29,"D","Algeria","napoli"
"341","Giovanni Di Lorenzo",3952000,26,"D","Italy","napoli"
"342","Mario Rui",3484000,29,"D","Portugal","napoli"
"343","Andrea Petagna",3224000,25,"ST","Italy","napoli"
"344","Elseid Hysaj",2808000,26,"D","Albania","napoli"
"345","Stanislav Lobotka",2652000,25,"M","Slovakia","napoli"
"346","Amir Rrahmani",2652000,26,"D","Kosovo","napoli"
"347","Matteo Politano",2652000,26,"M","Italy","napoli"
"348","Fabian",2652000,24,"M","Spain","napoli"
"349","David Ospina",2496000,31,"GK","Colombia","napoli"
"350","Eljif Elmas",2184000,20,"M","North Macedonia","napoli"
"351","Nikola Maksimovic",1976000,28,"D","Serbia","napoli"
"352","Alex Meret",1872000,23,"GK","Italy","napoli"
"353","Nikita Contini",468000,24,"GK","Italy","napoli"
"354","Karim Zedadka",30940,20,"D","France","napoli"
"355","Brando Sami",30472,19,"M","Italy","napoli"
"356","Valerio Labriola",25168,19,"M","Italy","napoli"
"357","Ciro Pinto",23556,17,"GK","Italy","napoli"
"358","Riccardo Cataldi",22880,19,"M","Italy","napoli"
"359","Oscar Archimede Guarino",20020,19,"D","Italy","napoli"
"360","Nathaniel Amoah",12116,18,"D","Ghana","napoli"
"361","Andrea Conti",3536000,26,"D","Italy","parma-calcio-1913"
"362","Roberto Inglese",2288000,28,"ST","Italy","parma-calcio-1913"
"363","Gervinho",2236000,33,"ST","Ivory Coast","parma-calcio-1913"
"364","Juraj Kucka",2028000,33,"M","Slovakia","parma-calcio-1913"
"365","Yann Karamoh",1820000,22,"ST","France","parma-calcio-1913"
"366","Hernani",1716000,26,"M","Brazil","parma-calcio-1913"
"367","Jasmin Kurtic",1716000,31,"M","Slovenia","parma-calcio-1913"
"368","Alberto Grassi",1664000,25,"M","Italy","parma-calcio-1913"
"369","Dennis Man",1612000,21,"ST","Romania","parma-calcio-1913"
"370","Luigi Sepe",1508000,29,"GK","Italy","parma-calcio-1913"
"371","Andreas Cornelius",1508000,27,"ST","Denmark","parma-calcio-1913"
"372","Wylan Cyprien",1456000,25,"M","France","parma-calcio-1913"
"373","Bruno Alves",1196000,38,"D","Portugal","parma-calcio-1913"
