"","Yearly.Salary","Player.Name","Position","Nationality","team.y","Age","X90s","goal.90","PKatt","CrdY","CrdR","G.PK","SoT.","Sh.90","SoT.90","G.Sh","Dist","FK","total.completed","X.total..completed.","short.","X.medium","long..","SCA90","PassDead","Drib","Sh.y","Fld","Def","GCA","GCA90","TklW","Att.3rd.x","Past","Press.att","Pass","Err","Def.Pen","X.Pl","Megs","CPA","Mis","X2CrdY","Off","Crs","Won","Lost","Won.","PK"
"1",832000,"Aaron Hickey","D","Scotland","bologna-fc-1909",18,8.4,0,0,3,"Yes",0,33.3,0.36,0.12,0,28.1,1,339,83.9,91.1,85.6,66.7,0.83,1,0,0,"Equal and under",0,1,0.12,6,1,11,15,15,0,30,10,0,2,10,0,0,6,3,4,42.9,"No"
"2",9724000,"Aaron Ramsey","M","Wales","juventus",29,12.1,2,0,2,"No",0.17,43.5,1.9,0.83,0.09,13.8,0,626,85.5,89.7,86.9,74.1,4.79,5,2,1,"Equal and under",1,7,0.58,16,2,19,63,12,1,17,12,1,9,24,0,3,19,7,16,30.4,"No"
"3",6968000,"Achraf Hakimi","D","Morocco","fc-internazionale-milano",21,29.6,7,0,6,"No",0.24,39.5,1.28,0.51,0.18,16.3,2,1279,82.5,88.6,85.8,64.2,2.53,4,3,0,"Over",0,18,0.61,30,8,32,147,39,0,50,40,8,36,44,0,8,105,13,29,31,"No"
"4",1612000,"Adam Marusic","D","Montenegro","lazio",26,33,2,0,3,"No",0.06,44.4,0.82,0.36,0.07,14.5,0,1352,83.5,88.9,88.3,67.2,1.76,1,1,5,"Equal and under",1,6,0.18,28,3,22,53,50,1,111,28,1,10,18,0,4,50,43,25,63.2,"No"
"5",2132000,"Adam Ounas","M","Algeria","cagliari",23,3.4,0,0,0,"No",0,0,1.75,0,0,17.7,0,83,68.6,85,68.2,56.5,3.8,0,2,0,"Equal and under",0,2,0.58,1,0,7,9,6,0,0,20,0,2,7,0,1,11,3,5,37.5,"No"
"6",2132000,"Adam Ounas","M","Algeria","crotone",23,13.3,4,0,1,"No",0.3,40,1.88,0.75,0.16,17.1,0,389,78.7,84.7,85.9,65.1,3.3,4,7,1,"Equal and under",0,7,0.53,4,2,5,54,11,0,5,48,3,15,23,0,9,27,8,18,30.8,"No"
"7",1456000,"Adama Soumaoro","D","France","bologna-fc-1909",28,19.5,1,0,4,"No",0.05,28.6,0.36,0.1,0.14,7.4,0,821,91.5,92.4,95.9,80.1,0.46,0,0,0,"Equal and under",1,0,0,16,0,6,6,20,0,166,3,0,0,4,0,0,0,70,19,78.7,"No"
"8",1144000,"Adolfo Gaich","ST","Argentina","benevento",21,8.5,2,0,1,"No",0.23,30.4,2.7,0.82,0.09,13.7,0,90,63.8,68.6,66.7,81.8,1.64,0,2,0,"Equal and under",2,3,0.35,3,1,9,74,8,0,4,12,4,2,25,0,3,3,15,52,22.4,"No"
"9",9724000,"Adrien Rabiot","M","France","juventus",25,25.7,4,0,7,"Yes",0.16,35.3,1.32,0.47,0.12,16.3,0,1339,90.4,91,93.3,89.8,1.63,0,1,2,"Equal and under",0,7,0.27,45,11,32,85,35,1,97,29,0,9,21,1,0,14,40,23,63.5,"No"
"10",1664000,"Adrien Silva","M","Portugal","u.c.-sampdoria",31,17.8,1,0,8,"Yes",0.06,16.7,0.34,0.06,0.17,22.3,0,839,87.5,90.6,89.4,83.2,1.63,1,0,0,"Equal and under",0,3,0.17,26,2,32,77,36,0,43,10,0,0,12,1,0,9,10,20,33.3,"No"
"11",832000,"Adrien Tameze","M","France","hellas-verona",26,25.6,1,0,6,"No",0.04,17.6,0.66,0.12,0.06,20.5,0,821,80.2,83.7,85.9,66,1.37,0,3,0,"Equal and under",2,3,0.12,41,3,22,84,41,2,58,39,2,3,28,0,2,16,47,51,48,"No"
"12",936000,"Ahmad Benali","M","Libya","crotone",28,13.5,0,0,2,"No",0,36.4,0.82,0.3,0,18.4,0,661,84.9,91.3,89.1,64.1,2.15,4,2,0,"Equal and under",0,1,0.07,22,0,33,46,11,0,49,10,0,3,15,0,1,16,11,6,64.7,"No"
"13",1872000,"Alberto Cerri","ST","Italy","cagliari",24,4.1,1,0,1,"No",0.24,37.5,3.9,1.46,0.06,10,0,95,66.9,76.7,63,66.7,5.37,0,3,4,"Equal and under",0,2,0.49,5,1,4,27,3,0,10,8,0,3,20,0,1,2,34,25,57.6,"No"
"14",1664000,"Alberto Grassi","M","Italy","parma-calcio-1913",25,13.1,0,0,3,"No",0,27.3,0.84,0.23,0,18.9,0,370,80.3,85.5,86.1,62.7,0.84,0,0,1,"Equal and under",0,0,0,13,3,19,39,29,0,53,5,0,4,14,0,1,7,14,14,50,"No"
"15",2028000,"Albin Ekdal","M","Sweden","u.c.-sampdoria",30,25.5,2,0,9,"No",0.08,23.1,0.51,0.12,0.15,17.9,0,896,84,88.3,86.9,74.4,1.1,0,2,1,"Equal and under",4,1,0.04,49,7,46,82,40,0,70,23,0,1,12,0,0,3,38,29,56.7,"No"
"16",5252000,"Aleksandar Kolarov","D","Serbia","fc-internazionale-milano",34,4.3,0,0,0,"No",0,33.3,1.38,0.46,0,29.8,0,318,85.7,92.1,90.7,68.1,3.46,2,0,1,"Equal and under",1,2,0.46,5,1,1,4,3,0,40,0,0,0,3,0,0,8,13,5,72.2,"No"
"17",2704000,"Alessandro Bastoni","D","Italy","fc-internazionale-milano",21,32.5,0,0,6,"No",0,18.2,0.34,0.06,0,10,0,2059,89.9,94.9,93.9,75.2,0.95,0,0,2,"Equal and under",1,4,0.12,26,3,13,31,28,1,310,8,0,1,9,0,0,16,60,34,63.8,"No"
"19",390000,"Alessandro Buongiorno","D","Italy","torino",21,9.5,0,0,4,"No",0,0,0.31,0,0,7.1,0,360,85.1,91.2,92,60.8,0.21,0,0,0,"Equal and under",0,0,0,6,0,4,6,12,1,72,2,0,0,6,0,1,0,24,9,72.7,"No"
"20",676000,"Alessandro Deiola","M","Italy","cagliari",24,6.8,0,0,2,"No",0,16.7,0.88,0.15,0,22.2,0,197,84.2,93.5,85.6,74.4,2.05,0,0,2,"Equal and under",0,1,0.15,7,4,14,19,9,0,21,2,1,0,7,0,0,4,9,2,81.8,"No"
"21",676000,"Alessandro Deiola","M","Italy","spezia-calcio",24,4,0,0,1,"No",0,20,1.25,0.25,0,23.6,1,127,77,86.7,86.7,57.1,2.5,3,0,0,"Equal and under",0,0,0,6,0,4,14,3,0,8,1,0,1,2,0,0,3,3,6,33.3,"No"
"22",676000,"Alessandro Tripaldelli","D","Italy","cagliari",21,3.3,0,0,1,"No",0,0,0,0,0,0,0,80,64.5,63.4,70.3,54.5,0.3,1,0,0,"Equal and under",0,0,0,4,1,2,8,7,0,12,2,0,1,3,0,0,8,7,8,46.7,"No"
"23",390000,"Alessandro Tuia","D","Italy","benevento",30,19.6,1,0,6,"No",0.05,14.3,0.36,0.05,0.14,12.2,0,621,79,91.1,85.5,60.7,0.46,0,0,1,"Equal and under",1,0,0,30,2,11,6,18,1,172,4,0,0,6,0,0,7,28,15,65.1,"No"
"25",5928000,"Alessio Romagnoli","D","Italy","ac-milan",25,21.2,1,0,7,"No",0.05,20,0.71,0.14,0.07,6.6,0,914,90.5,94.7,94.3,74.3,0.66,0,0,2,"Equal and under",0,4,0.19,9,2,10,8,14,1,177,0,0,0,4,0,0,1,58,25,69.9,"No"
"27",832000,"Alex Ferrari","D","Italy","u.c.-sampdoria",26,9.8,0,0,3,"No",0,0,0,0,0,0,0,413,85.2,91,89.6,72.4,0.61,0,0,0,"Equal and under",0,2,0.2,23,1,13,12,10,0,65,2,0,1,7,0,0,4,17,8,68,"No"
"29",10140000,"Alex Sandro","D","Brazil","juventus",29,20.6,2,0,2,"No",0.1,21.4,0.68,0.15,0.14,13.6,0,1223,85.8,90.6,92.6,67.3,1.84,1,2,2,"Equal and under",0,6,0.29,28,7,12,31,32,0,121,16,1,8,16,0,0,45,38,27,58.5,"No"
"30",2912000,"Alexandr Kokorin","ST","Russia","acf-fiorentina",29,1,0,0,1,"No",0,0,0,0,0,0,0,27,84.4,95,100,33.3,0,0,0,0,"Equal and under",0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,"No"
"31",2704000,"Alexey Miranchuk","M","Russia","atalanta",24,7.5,4,0,0,"No",0.53,43.8,2.13,0.93,0.25,15.7,1,321,78.7,84.2,82.1,63.3,4.13,2,2,1,"Equal and under",0,6,0.8,10,6,3,50,1,0,2,16,1,10,13,0,2,9,14,12,53.8,"No"
"32",1560000,"Alexis Saelemaekers","D","Belgium","ac-milan",21,22.4,2,0,7,"Yes",0.09,25,1.25,0.31,0.07,17.7,0,710,80.1,87,81.2,50,3.21,0,5,0,"Over",1,8,0.36,31,6,41,147,39,0,14,45,1,9,42,1,6,41,7,25,21.9,"No"
"33",9724000,"Alexis Sanchez","ST","Chile","fc-internazionale-milano",31,12.7,7,1,0,"No",0.55,53.6,2.2,1.18,0.25,15.6,4,414,78.3,82.9,77.4,75.8,5.58,8,3,3,"Equal and under",0,15,1.18,10,5,13,115,8,0,2,29,1,13,36,0,10,18,13,11,54.2,"Yes"
